Alpha_Node,Total_Support
SYT9,339
GPD2,343
TRIM62,307
HELB,353
DDB2,329
ZNF594,339
MAP1LC3A,339
C1orf156,335
ARHGEF4,387
TGOLN2,297
USHBP1,81
IL5,339
NDUFS6,293
HEBP2,329
PRPS1,49
RUVBL1,-61
FLJ25393,181
IRF4,143
BIRC2,157
RAD17,1
DUSP16,7
PSMA3,121
SLC25A11,57
ERBB3,-111
EDA2R,43
CAPZA1,37
PRKRA,847
DYRK2,53
CAMP,55
RAC2,-15
XRN1,67
PIAS3,-175
TFDP2,31
RHOD,57
ZNF482,37
ARID2,59
FOXH1,-199
NFKBIE,33
C1orf116,57
NALP4,17
ABCD1,45
SLC26A3,51
MBP,9
DLX5,53
CABP2,51
LDLRAP1,23
CACNB4,41
STX11,115
SPARC,109
AMOTL2,-41
CDK6,-85
CD2,13
CEACAM6,19
PLEKHF1,65
ITGB1BP1,53
GFAP,-121
CDYL,-9
FSCN2,-57
SLC35E1,59
CSF2,105
TAP2,55
RPL6,281
DFNB31,55
TTC1,59
BNIPL,57
HBB,57
TNIP1,19
IL9,59
EFS,123
CASR,33
ARL3,847
IGHG1,55
ATBF1,119
C1QTNF1,39
FABP5,55
OLFML3,11
AHSG,39
NASP,41
MGC2560,63
FXYD1,51
USP21,43
H17,43
BRCA2,683
MRPL4,49
TESK2,45
PSEN1,-81
TGM3,57
SSX2IP,43
PTHR2,57
SEDLP,57
TPR,35
NCK2,-29
FOSL1,-57
TP53I3,83
AVEN,59
NEUROD2,67
TIFA,107
KCNA5,55
PLXNB3,55
CBFB,55
WDR56,55
SMARCC2,31
BTBD15,107
SLC22A2,57
POLR2L,183
C7orf19,185
ELK3,57
EPR1,57
TXNDC9,137
DNCI1,159
CHRNA3,61
HNRPDL,159
RBBP9,-57
RNF10,327
RFXDC1,-35
CALML3,53
MGC21675,65
C2F,145
IRX4,31
BMP3,57
SBF1,57
FBN1,25
MAP3K6,49
NVL,41
APOA1,115
DNAJC3,23
FCHSD2,179
VAMP4,59
LPA,21
BUB1,-33
IRF8,53
ENSA,29
SIN3A,615
ZNF675,41
RUNX2,-179
DPM1,-127
DCX,57
TREX2,57
PILRB,57
FLJ21103,57
SIN3B,-129
MULK,31
BCL9,-47
SH3GLB2,55
BRP44,41
PSMD1,111
PGM5,57
RARS,57
DDX19B,35
SKIV2L,41
PGF,57
UNC13D,39
SPAG9,105
CARD9,93
CR2,843
TLE2,47
HYAL2,111
KIF15,97
GLMN,113
ARL6IP4,57
NOL4,59
CCNE2,121
SIAHBP1,83
LHX4,57
TIAM1,-7
HSU79303,851
CCND2,133
ICAM1,45
ZBTB7B,49
HIRIP5,55
COPB2,51
FAHD1,39
DAG1,157
FHOD1,15
