Alpha_Node,Total_Support
NOS1,-382
ATM,-382
RAG1,-382
GABARAPL2,-382
GSTT1,-382
GSTT2B,-382
GSTA3,-382
S1PR4,-382
TXN2,-382
HSPA1L,-382
CCNB3,-382
TXN,-382
GSTP1,-382
MGST2,-382
TNFSF10,-382
RAG2,-382
CRYAB,-382
KRT26,-219
RARA,-219
ATP2B1,-219
KLF4,-219
EIF2AK2,-219
TFF1,-219
ZBTB16,-219
KRT37,-219
ESR2,-219
SOCS4,-219
KRT14,-219
SOX2,-215
KRT28,-219
COL1A2,-219
SOCS6,-219
KRT13,-219
SOCS2,-219
EBAG9,-219
PRLR,-219
LHCGR,-219
AOX1,-219
SLC8A1,-219
TH,-219
WNT4,-219
KRT36,-219
KRT35,-219
IL23R,-219
ESR1,-219
CEBPE,-219
KRT19,-219
KRT10,-219
KRT39,-219
POU5F1,-217
PIM2,-219
KRT33A,-219
CISH,-219
RIPK1,-219
KRT38,-219
ELF5,-219
PGR,-219
GCK,-219
KRT24,-219
KRT25,-219
CCNA1,-219
STAT3,-217
TRPV5,-219
KRT27,-219
CSN2,-219
IRF1,-219
CCND3,-431
TNFSF13B,-431
THRA,-431
HLA-DRB1,-431
FLT4,-431
NOTCH4,-431
HES3,-431
INS,-433
CYP17A1,-431
HLA-DPB1,-431
IFNA8,-431
SLC2A4,-431
CCL22,-431
CYP11B1,-431
DCT,-431
NOTCH3,-431
NOTCH1,-433
IFNA17,-431
SIK1,-431
IFNA1,-431
POMC,-431
BMP4,-431
HES2,-431
HES1,-429
ARC,-431
IFNA10,-431
HLA-DQA1,-431
HLA-DRB4,-431
IFNA6,-431
HES7,-431
PTPN13,-431
SOCS3,-431
BCL2L1,-431
ATP2A2,-431
CD40,-431
CCL17,-431
TRAF1,-431
MYH6,-431
TG,-431
CXCL12,-431
IL23A,-431
ENTPD3,-431
PFKM,-431
CXCL10,-431
CYP11B2,-431
NFKB2,-429
HLA-DMB,-431
IL6,-431
RELA,-401
