Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000092929,UNC13D,,39,,,False,38306418
ENSG00000180185,FAHD1,,39,,,False,34353775
ENSG00000117625,RCOR3,,39,,,False,
ENSG00000042753,AP2S1,,39,,,False,37449924
ENSG00000164404,GDF9,,39,,,False,
,NOLA1,,39,,,False,18989882
ENSG00000169946,ZFPM2,,37,,,False,
ENSG00000121481,RNF2,,37,,,False,"39880318, 38878927"
ENSG00000116489,CAPZA1,,37,,,False,37198664
,ZNF482,,37,,,False,
ENSG00000165879,FRAT1,,37,,,False,36017142
ENSG00000118495,PLAGL1,,37,,,False,38639853
ENSG00000116830,TTF2,,37,,,False,38889498
ENSG00000170323,FABP4,,37,,,False,40268453
ENSG00000167074,TEF,,37,,,False,39881414
,OIP106,,37,,,False,
ENSG00000074410,CA12,,37,,,False,40009913
ENSG00000132703,APCS,,37,,,False,40298935
ENSG00000128709,HOXD9,,37,,,False,39956870
,ISGF3G,,37,,,False,
ENSG00000010803,SCMH1,,37,,,False,
ENSG00000142867,BCL10,"CIPER, CLAP, c-E10, mE10",35,No,Yes,True,"40073896, 39460552"
,HNRPH3,,35,,,False,
ENSG00000119523,ALG2,,35,,,False,39533058
ENSG00000088247,KHSRP,,35,,,False,"40162559, 39764645"
ENSG00000076706,MCAM,,35,,,False,39970938
ENSG00000171988,JMJD1C,,35,,,False,38719212
ENSG00000157349,DDX19B,,35,,,False,32887258
ENSG00000163297,ANTXR2,,35,,,False,38960477
ENSG00000164609,SLU7,,35,,,False,"38750680, 36362191"
ENSG00000198963,RORB,,35,,,False,39043735
ENSG00000115963,RND3,,35,,,False,
ENSG00000047410,TPR,,35,No,No,True,40135318
ENSG00000150672,DLG2,,35,,,False,
,RCV1,,33,,,False,
,TCF8,,33,,,False,31922234
ENSG00000007168,PAFAH1B1,,33,,,False,"38466053, 36441004"
ENSG00000152583,SPARCL1,,33,,,False,"39619603, 39126272"
ENSG00000096401,CDC5L,,33,,,False,39354571
ENSG00000142273,CBLC,"CBL-3, CBL-SL, RNF57",33,No,No,True,38743987
ENSG00000143228,NUF2,"CDCA1, CT106, NUF2R",33,Yes,No,True,"40187571, 40069170"
ENSG00000130227,XPO7,,33,,,False,33553736
ENSG00000196482,ESRRG,,33,,,False,39085398
ENSG00000036828,CASR,"FHH, GPRC2A, HHC, HHC1, NSHPT",33,Yes,Yes,True,39673085
ENSG00000138829,FBN2,,33,,,False,37337404
ENSG00000072803,FBXW11,,33,,,False,"38672111, 37199076"
ENSG00000159216,RUNX1,"AML1, AMLCR1, CBFA2, PEBP2A2",33,No,Yes,True,40282530
ENSG00000100614,PPM1A,,33,,,False,37861027
ENSG00000146232,NFKBIE,IKBE,33,No,No,True,39707004
ENSG00000103197,TSC2,"LAM, PPP1R160, TSC4, tuberin",33,No,Yes,True,40214022
ENSG00000070601,FRMPD1,,33,,,False,17404222
ENSG00000115325,DOK1,,31,,,False,"38956389, 37251450"
ENSG00000028839,TBPL1,,31,,,False,"39215079, 27576952"
ENSG00000283018,MRPS12,,31,,,False,26781422
ENSG00000138813,C4orf17,,31,,,False,
ENSG00000102468,HTR2A,,31,,,False,39410900
ENSG00000114126,TFDP2,,31,,,False,"39318640, 33773557"
ENSG00000139613,SMARCC2,,31,,,False,38516682
ENSG00000116478,HDAC1,"GON-10, HD1, KDAC1, RPD3L1",31,Yes,No,True,"38254102, 37121053"
ENSG00000206435,HLA-C,"D6S204, HLA-JY3, PSORS1",31,No,Yes,True,40065352
ENSG00000134532,SOX5,,31,,,False,"40260408, 39278446"
ENSG00000132382,MYBBP1A,,31,,,False,"39503963, 38762546"
ENSG00000157450,RNF111,,31,,,False,"38376577, 37222950"
,MULK,,31,,,False,
ENSG00000113430,IRX4,,31,,,False,38076926
ENSG00000204103,MAFB,KRML,31,Yes,No,True,39545407
ENSG00000146674,IGFBP3,,31,,,False,
ENSG00000099995,SF3A1,,29,,,False,"39279958, 38715824"
ENSG00000143420,ENSA,,29,,,False,39663392
ENSG00000143632,ACTA1,,29,,,False,28794688
ENSG00000119048,UBE2B,,29,,,False,
ENSG00000081985,IL12RB2,,29,,,False,38508299
ENSG00000141434,MEP1B,,29,,,False,24114056
ENSG00000137207,YIPF3,,27,,,False,
ENSG00000111275,ALDH2,,27,No,Yes,True,"40137171, 40049649"
,SFRS2IP,,27,,,False,
ENSG00000088002,SULT2B1,,27,,,False,"40222694, 39280099"
ENSG00000187682,ERAS,,27,,,False,
,SEC22L1,,27,,,False,
ENSG00000063245,EPN1,,27,,,False,31820345
ENSG00000013810,TACC3,,27,,,False,40179432
ENSG00000163220,S100A9,,27,,,False,40040282
ENSG00000126777,KTN1,"KIAA0004, KNT",27,No,No,True,
ENSG00000164743,C8orf48,,27,,,False,
ENSG00000100075,SLC25A1,,27,,,False,39821659
ENSG00000143569,UBAP2L,,25,,,False,
ENSG00000172009,THOP1,,25,,,False,36997147
ENSG00000156675,RAB11FIP1,,25,,,False,
,ARS2,,25,,,False,"38233562, 35104878"
,LOC56901,,25,,,False,
ENSG00000185885,IFITM1,,25,,,False,"39873931, 39472469"
ENSG00000166147,FBN1,,25,,,False,
,HARS,,25,,,False,
ENSG00000169062,UPF3A,,25,,,False,36807382
ENSG00000122359,ANXA11,,25,,,False,39259536
ENSG00000044090,CUL7,,25,,,False,38461173
ENSG00000164283,ESM1,,25,,,False,"40260248, 40089962"
ENSG00000184845,DRD1,,25,,,False,"38701338, 38213702"
ENSG00000164332,UBLCP1,,25,,,False,
ENSG00000001167,NFYA,,25,,,False,39254227
,YT521,,25,,,False,40017738
ENSG00000102580,DNAJC3,,23,,,False,37720575
ENSG00000198089,SFI1,,23,,,False,31047110
ENSG00000109083,IFT20,,23,,,False,"39743593, 36292997"
ENSG00000288174,SLC2A4,,23,,,False,
,KIAA0746,,23,,,False,
ENSG00000157978,LDLRAP1,,23,,,False,"39625429, 36474183"
,HCNGP,,23,,,False,
ENSG00000169087,HSPBAP1,,23,,,False,12939738
ENSG00000067082,KLF6,"BCD1, COPEB, CPBP, GBF, PAC1, ST12, Zf9",23,No,No,True,39674047
ENSG00000183963,SMTN,,23,,,False,34001947
,EIF3S7,,23,,,False,
ENSG00000284238,TOP3A,,23,,,False,
ENSG00000134470,IL15RA,,23,,,False,
,MGC10471,,23,,,False,
ENSG00000263001,GTF2I,"BAP-135, BTKAP1, DIWS, IB291, TFII-I, WBSCR6",23,Yes,No,True,"39806458, 39358382"
,APOA1BP,,23,,,False,
ENSG00000071994,PDCD2,,23,,,False,"37658265, 35053500"
ENSG00000153234,NR4A2,,23,,,False,"40282226, 39828007"
ENSG00000117643,MAN1C1,,23,,,False,32350851
,ADPRHL2,,23,,,False,"34019811, 30472116"
ENSG00000138386,NAB1,,21,,,False,"38659891, 30767193"
ENSG00000198670,LPA,,21,,,False,40233422
ENSG00000066777,ARFGEF1,,21,,,False,34782712
,SFRS1,,21,,,False,39216044
ENSG00000104221,BRF2,,21,,,False,37705251
ENSG00000230463,HLA-DRB3,,21,,,False,
ENSG00000150637,CD226,,21,,,False,
,HNRPH1,,21,,,False,
,DF,,21,,,False,
ENSG00000056558,TRAF1,,21,,,False,"40210478, 39949951"
ENSG00000130684,ZNF337,,19,,,False,"39123194, 35441740"
ENSG00000086548,CEACAM6,,19,,,False,40232301
ENSG00000179222,MAGED1,"DLXIN-1, NRAGE",19,No,No,True,35349880
ENSG00000105173,CCNE1,CCNE,19,Yes,No,True,40277748
ENSG00000145901,TNIP1,,19,,,False,"39268404, 36657267"
ENSG00000153064,BANK1,,19,,,False,34810221
ENSG00000177301,KCNA2,,19,,,False,"38107664, 34101221"
ENSG00000196924,FLNA,,19,,,False,40104507
ENSG00000115234,SNX17,,19,,,False,"39574183, 36274598"
ENSG00000126453,BCL2L12,,19,,,False,"39897043, 36271053"
ENSG00000108511,HOXB6,,19,,,False,
ENSG00000115073,ACTR1B,,19,,,False,
ENSG00000066855,MTFR1,,19,,,False,"38170222, 35107755"
,KIBRA,,19,,,False,37460832
ENSG00000196361,ELAVL3,,19,,,False,34618203
ENSG00000276910,GTF2H2,,19,,,False,"39901543, 36116407"
ENSG00000130816,DNMT1,"CXXC9, DNMT, MCMT",19,Yes,No,True,"40314887, 40306359"
ENSG00000187741,FANCA,"FA-H, FAA, FACA, FANCH",19,No,Yes,True,40061205
ENSG00000147168,IL2RG,,19,,,False,40017197
ENSG00000092108,SCFD1,,19,,,False,11470164
ENSG00000188342,GTF2F2,,17,,,False,
ENSG00000104976,SNAPC2,,17,,,False,
ENSG00000213366,GSTM2,,17,,,False,38111060
,LOC116349,,17,,,False,
,MGC39821,,17,,,False,
ENSG00000158186,MRAS,,17,,,False,"40204202, 39937358"
ENSG00000127914,AKAP9,,17,,,False,39773276
ENSG00000117632,STMN1,,17,,,False,40035993
ENSG00000119408,NEK6,,17,,,False,"39895790, 39523439"
,PEPP-2,,17,,,False,
ENSG00000111752,PHC1,,17,,,False,33077976
ENSG00000065135,GNAI3,,17,,,False,30836096
ENSG00000274566,GP6,,17,,,False,39812346
,NALP4,,17,,,False,
ENSG00000205420,KRT6A,,17,,,False,39827145
ENSG00000152661,GJA1,,17,,,False,39936974
ENSG00000066056,TIE1,,17,,,False,38820174
,IKBKAP,,17,,,False,
ENSG00000196712,NF1,,17,No,Yes,True,40289159
ENSG00000087237,CETP,,17,,,False,
ENSG00000074964,ARHGEF10L,,17,,,False,"36647951, 29979793"
ENSG00000163191,S100A11,,17,,,False,39879906
ENSG00000164024,METAP1,,15,,,False,
,RAP80,,15,,,False,38263212
ENSG00000188257,PLA2G2A,,15,,,False,39572698
ENSG00000162739,SLAMF6,,15,,,False,38746459
ENSG00000135723,FHOD1,,15,,,False,"37211949, 34457067"
ENSG00000110324,IL10RA,,15,,,False,
ENSG00000116473,RAP1A,,15,,,False,"39460812, 39269448"
ENSG00000117394,SLC2A1,,15,,,False,
ENSG00000116701,NCF2,,15,,,False,39393272
ENSG00000153140,CETN3,,15,,,False,29789535
ENSG00000072501,SMC1A,"DXS423E, KIAA0178, SB1.8, SMC1L1, Smcb",13,No,Yes,True,39851557
ENSG00000274286,ADRA2B,,13,,,False,35873555
ENSG00000104774,MAN2B1,,13,,,False,"35871018, 31362757"
ENSG00000162129,CLPB,,13,,,False,38339390
,HIST2H2BE,,13,,,False,34455959
ENSG00000102981,PARD6A,,13,,,False,39300216
ENSG00000275331,ABCC6,,13,,,False,38003580
ENSG00000163873,GRIK3,,13,,,False,33717664
ENSG00000172493,AFF1,"AF-4, AF4, MLLT2, PBM1",13,No,No,True,39672769
ENSG00000116824,CD2,,13,,,False,40202044
ENSG00000131508,UBE2D2,,13,,,False,38848634
ENSG00000166349,RAG1,,11,,,False,40044379
ENSG00000143641,GALNT2,,11,,,False,38644835
,ZBTB8,,11,,,False,
ENSG00000028137,TNFRSF1B,,11,,,False,39609700
ENSG00000129993,CBFA2T3,"ETO2, MTG16, MTGR2, RUNX1T3, ZMYND4",11,No,Yes,True,
ENSG00000134308,YWHAQ,,11,,,False,34454032
ENSG00000056972,TRAF3IP2,,11,,,False,38165572
,CREBL1,,11,,,False,
ENSG00000163517,HDAC11,,11,,,False,"40166014, 38835760"
ENSG00000010671,BTK,"AGMX1, ATK, IMD1, PSCTK1, XLA",11,Yes,No,True,40278919
ENSG00000137269,LRRC1,,11,,,False,"38683045, 37505155"
ENSG00000116774,OLFML3,,11,,,False,36795563
ENSG00000215021,PHB2,,11,,,False,40029335
ENSG00000124222,STX16,,11,,,False,26819647
,KIAA0992,,11,,,False,
ENSG00000271858,CYB561D2,,11,,,False,17616688
ENSG00000054267,ARID4B,"BCAA, BRCAA1, RBP1L1, SAP180",11,No,Yes,True,37761387
ENSG00000109332,UBE2D3,,9,,,False,"39614426, 38866770"
ENSG00000107281,NPDC1,,9,,,False,36578802
ENSG00000106554,CHCHD3,,9,,,False,"37960952, 35220675"
ENSG00000280987,MATR3,,9,,,False,38891112
ENSG00000141480,ARRB2,,9,,,False,36284990
ENSG00000081721,DUSP12,,9,,,False,34414037
ENSG00000214717,ZBED1,,9,,,False,32934705
ENSG00000162738,VANGL2,,9,,,False,"39968094, 39269442"
ENSG00000165030,NFIL3,,9,,,False,"39201344, 38356719"
ENSG00000197971,MBP,,9,,,False,
ENSG00000168621,GDNF,,9,,,False,39968416
ENSG00000131773,KHDRBS3,,9,,,False,"40055377, 39413902"
,ORC4L,,9,,,False,24989122
ENSG00000196154,S100A4,,9,,,False,"40299526, 40166494"
ENSG00000078177,N4BP2,,9,,,False,18725943
ENSG00000136021,SCYL2,,9,,,False,26420498
ENSG00000169188,APEX2,,9,,,False,39703998
ENSG00000180332,KCTD4,,9,,,False,35589867
ENSG00000096384,HSP90AB1,"HSPC2, HSPCB",7,No,No,True,"40259338, 40105114"
ENSG00000120727,PAIP2,,7,,,False,"32806782, 25764126"
ENSG00000282844,ACTN4,,7,,,False,39760648
ENSG00000080503,SMARCA2,"BAF190, BRM, SNF2, SNF2L2, SNF2LA, SWI2, Sth1p, hBRM, hSNF2a",7,No,Yes,True,"40280558, 40236548"
ENSG00000182195,LDOC1,,7,,,False,"38338651, 35957693"
ENSG00000280962,DUSP16,,7,,,False,37476896
,KIAA1033,,7,,,False,
ENSG00000042980,ADAM28,,7,,,False,36778919
ENSG00000137040,RANBP6,,7,,,False,
ENSG00000002822,MAD1L1,,5,,,False,39408606
ENSG00000110921,MVK,,5,,,False,39844257
ENSG00000165682,CLEC1B,,5,,,False,37308868
ENSG00000104327,CALB1,,5,,,False,37267698
ENSG00000107223,EDF1,,5,,,False,"23836010, 10958795"
ENSG00000047056,WDR37,,5,,,False,
ENSG00000146090,RASGEF1C,,5,,,False,23469100
,HRB2,,5,,,False,
ENSG00000197343,ZNF655,,3,,,False,"39202766, 36519409"
ENSG00000197893,NRAP,,3,,,False,21114830
ENSG00000108984,MAP2K6,,3,,,False,39027611
ENSG00000158022,TRIM63,,3,,,False,
ENSG00000164683,HEY1,"CHF-2, CHF2, HERP2, HESR-1, HESR1, HRT-1, bHLHb31",3,No,No,True,"40278892, 40117529"
ENSG00000176170,SPHK1,,3,,,False,40121428
ENSG00000086015,MAST2,,3,,,False,35871080
,C6orf203,,3,,,False,
,FLJ36046,,3,,,False,
ENSG00000171723,GPHN,KIAA1385,3,No,No,True,39626934
ENSG00000142515,KLK3,,3,,,False,40022909
ENSG00000092094,OSGEP,,3,,,False,"35373928, 28805828"
ENSG00000088832,FKBP1A,,3,,,False,39722325
ENSG00000130024,PHF10,,3,,,False,"39127832, 35622521"
ENSG00000170345,FOS,,3,,,False,39292359
,TRA,"TCRA, TRA@",3,Yes,No,True,"40238042, 40160815, 40150923"
ENSG00000182568,SATB1,,3,,,False,40071088
ENSG00000138376,BARD1,,3,No,Yes,True,40205351
ENSG00000141503,MINK1,,3,,,False,"39833669, 37691891"
,C1orf103,,3,,,False,
ENSG00000197265,GTF2E2,,3,,,False,"37845349, 33757492"
ENSG00000110076,NRXN2,,3,,,False,33101383
,C16orf34,,1,,,False,
ENSG00000137275,RIPK1,,1,,,False,40229146
ENSG00000183386,FHL3,,1,,,False,38306418
ENSG00000276618,RAD17,"CCYC, RAD17Sp, Rad24",1,No,Yes,True,38872153
ENSG00000067560,RHOA,"ARH12, ARHA, RHOH12, Rho12",1,Yes,No,True,40233079
ENSG00000081479,LRP2,,1,,,False,39265081
ENSG00000158480,SPATA2,,1,,,False,39179527
ENSG00000275990,NCF4,,1,,,False,39228435
,SEC5L1,,1,,,False,
ENSG00000142599,RERE,,1,,,False,38442902
ENSG00000169908,TM4SF1,,1,,,False,"39503984, 39060768"
ENSG00000176383,B3GNT4,,-1,,,False,18717311
ENSG00000092964,DPYSL2,,-1,,,False,"38057344, 37409245"
ENSG00000064692,SNCAIP,SYPH1,-1,No,No,True,35633541
ENSG00000018408,WWTR1,DKFZp586I1419,-1,Yes,No,True,40074344
ENSG00000198553,KCNRG,,-1,,,False,20237900
ENSG00000136770,DNAJC1,,-1,,,False,33525507
ENSG00000163728,TTC14,,-1,,,False,
,FAM13C1,,-1,,,False,
ENSG00000113494,PRLR,,-1,,,False,39975183
ENSG00000089775,ZBTB25,,-1,,,False,12566248
ENSG00000178999,AURKB,"ARK2, Aik2, AurB, IPL1, PPP1R48, STK12, STK5",-1,Yes,No,True,"31982864, 38713155"
ENSG00000138071,ACTR2,,-1,,,False,"39084455, 37365497"
ENSG00000164172,MOCS2,,-1,,,False,
ENSG00000123124,WWP1,"AIP5, DKFZP434D2111",-1,Yes,No,True,"40280477, 40248870"
ENSG00000175104,TRAF6,,-1,,,False,40211498
