Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000129355,CDKN2D,,-342,,,False,37461070
ENSG00000011422,PLAUR,,-342,,,False,
,NUPL1,,-344,,,False,
ENSG00000090339,ICAM1,,-344,,,False,
ENSG00000278567,CCL3,,-344,,,False,40251071
ENSG00000159216,RUNX1,"AML1, AMLCR1, CBFA2, PEBP2A2",-346,No,Yes,True,40282530
ENSG00000126456,IRF3,,-346,,,False,34557022
ENSG00000196313,POM121,,-346,,,False,37409345
ENSG00000167286,CD3D,,-348,,,False,39453390
ENSG00000160224,AIRE,,-348,,,False,40067589
ENSG00000110719,TCIRG1,,-348,,,False,"38238671, 37649034"
ENSG00000241973,PI4KA,,-348,,,False,37996444
ENSG00000160654,CD3G,,-348,,,False,38980810
ENSG00000147168,IL2RG,,-348,,,False,40017197
ENSG00000122034,GTF3A,,-350,,,False,7789179
ENSG00000185386,MAPK11,,-350,,,False,"39895059, 39666682"
ENSG00000104320,NBN,"AT-V1, AT-V2, ATV, NBS, NBS1",-352,No,Yes,True,40172573
ENSG00000034152,MAP2K3,,-354,,,False,39164711
ENSG00000113456,RAD1,,-354,,,False,
ENSG00000122877,EGR2,KROX20,-354,No,Yes,True,39940969
ENSG00000113712,CSNK1A1,,-354,,,False,
,ORC6L,,-356,,,False,
,MADH5,,-358,,,False,
ENSG00000148672,GLUD1,,-360,,,False,39446525
ENSG00000186081,KRT5,,-360,,,False,40134573
ENSG00000170458,CD14,,-362,,,False,40277801
ENSG00000012983,MAP4K5,,-362,,,False,
ENSG00000103653,CSK,,-362,,,False,40043109
ENSG00000177425,PAWR,,-362,,,False,37034206
ENSG00000003402,CFLAR,,-362,,,False,"40211399, 39920481"
ENSG00000185532,PRKG1,,-362,,,False,"39606386, 38492610"
ENSG00000085563,ABCB1,"ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1, p-170",-364,Yes,No,True,
ENSG00000173511,VEGFB,,-364,,,False,39812346
ENSG00000096968,JAK2,JTK10,-364,Yes,No,True,"34968467, 31511084"
ENSG00000134460,IL2RA,,-366,,,False,
ENSG00000160973,FOXH1,,-366,,,False,35848281
ENSG00000027697,IFNGR1,"CD119, IFNGR",-366,No,Yes,True,39395272
ENSG00000068366,ACSL4,,-366,,,False,40267151
ENSG00000185104,FAF1,"CGI-03, HFAF1s, UBXD12, UBXN3A, hFAF1",-366,No,No,True,"38365777, 37999107"
ENSG00000165806,CASP7,,-366,,,False,40214725
ENSG00000120875,DUSP4,"HVH2, MKP-2, TYP",-368,No,Yes,True,39639217
ENSG00000196262,PPIA,,-368,,,False,40025218
ENSG00000284096,PRKAR2B,,-370,,,False,37429463
ENSG00000153113,CAST,,-370,,,False,40301355
ENSG00000157240,FZD1,,-370,,,False,
ENSG00000131724,IL13RA1,,-372,,,False,38694815
ENSG00000088367,EPB41L1,,-372,,,False,32760223
ENSG00000120885,CLU,,-372,,,False,40164870
ENSG00000131089,ARHGEF9,,-374,,,False,35947460
ENSG00000142168,SOD1,,-374,,,False,40171845
ENSG00000235030,IER3,,-374,,,False,"40048143, 39354533"
ENSG00000140939,NOL3,,-374,,,False,38742685
ENSG00000135929,CYP27A1,,-374,,,False,39567700
ENSG00000130762,ARHGEF16,,-376,,,False,32811808
ENSG00000104368,PLAT,,-376,,,False,"40209747, 39959207"
ENSG00000186951,PPARA,,-376,,,False,"31154022, 36610145"
ENSG00000118217,ATF6,,-376,,,False,40223122
ENSG00000171680,PLEKHG5,,-376,,,False,33318498
ENSG00000156049,GNA14,,-376,,,False,"38917801, 38304027"
ENSG00000120889,TNFRSF10B,,-376,,,False,
ENSG00000180914,OXTR,,-376,,,False,38482889
ENSG00000196475,GK2,,-378,,,False,34066170
ENSG00000161057,PSMC2,,-380,,,False,"39962070, 39684225"
ENSG00000065833,ME1,,-380,,,False,39996805
ENSG00000085662,AKR1B1,,-382,,,False,"40187595, 40104726"
ENSG00000230669,PSMB8,,-382,,,False,39796785
ENSG00000015475,BID,,-382,,,False,40284519
ENSG00000108671,PSMD11,,-382,,,False,39678883
ENSG00000159352,PSMD4,,-382,,,False,"39850819, 39011168"
ENSG00000151247,EIF4E,"EIF4E1, EIF4EL1, EIF4F",-382,Yes,No,True,40210762
ENSG00000197919,IFNA1,,-384,,,False,38745021
ENSG00000113658,SMAD5,,-384,,,False,"39724753, 39449708"
