Start	End	Direction	Weight
hsa:11211	hsa:1856	0	1
hsa:7477	hsa:7478	0	1
hsa:7477	hsa:7480	0	1
hsa:7477	hsa:7479	0	1
hsa:7477	hsa:7482	0	1
hsa:7477	hsa:7481	0	1
hsa:7477	hsa:7484	0	1
hsa:7477	hsa:7483	0	1
hsa:7477	hsa:81029	0	1
hsa:7477	hsa:80326	0	1
hsa:7477	hsa:11211	0	1
hsa:7477	hsa:89780	0	1
hsa:7477	hsa:7855	0	1
hsa:7477	hsa:2535	0	1
hsa:7477	hsa:8321	0	1
hsa:7477	hsa:7976	0	1
hsa:7477	hsa:8323	0	1
hsa:7477	hsa:8322	0	1
hsa:7477	hsa:8325	0	1
hsa:7477	hsa:8324	0	1
hsa:7477	hsa:8326	0	1
hsa:2535	hsa:7976	0	1
hsa:2535	hsa:7855	0	1
hsa:2535	hsa:8322	0	1
hsa:2535	hsa:8321	0	1
hsa:2535	hsa:8324	0	1
hsa:2535	hsa:8323	0	1
hsa:2535	hsa:8326	0	1
hsa:2535	hsa:8325	0	1
hsa:2535	hsa:1856	0	1
hsa:2535	hsa:1855	0	1
hsa:2535	hsa:1857	0	1
hsa:7478	hsa:7479	0	1
hsa:7478	hsa:7481	0	1
hsa:7478	hsa:7480	0	1
hsa:7478	hsa:7483	0	1
hsa:7478	hsa:7482	0	1
hsa:7478	hsa:80326	0	1
hsa:7478	hsa:7484	0	1
hsa:7478	hsa:89780	0	1
hsa:7478	hsa:81029	0	1
hsa:7478	hsa:2535	0	1
hsa:7478	hsa:11211	0	1
hsa:7478	hsa:7976	0	1
hsa:7478	hsa:7855	0	1
hsa:7478	hsa:8322	0	1
hsa:7478	hsa:8321	0	1
hsa:7478	hsa:8324	0	1
hsa:7478	hsa:8323	0	1
hsa:7478	hsa:8326	0	1
hsa:7478	hsa:8325	0	1
hsa:7475	hsa:7477	0	1
hsa:7475	hsa:7476	0	1
hsa:7475	hsa:7479	0	1
hsa:7475	hsa:7478	0	1
hsa:7475	hsa:7481	0	1
hsa:7475	hsa:7480	0	1
hsa:7475	hsa:7483	0	1
hsa:7475	hsa:7482	0	1
hsa:7475	hsa:80326	0	1
hsa:7475	hsa:7484	0	1
hsa:7475	hsa:89780	0	1
hsa:7475	hsa:81029	0	1
hsa:7475	hsa:2535	0	1
hsa:7475	hsa:11211	0	1
hsa:7475	hsa:7976	0	1
hsa:7475	hsa:7855	0	1
hsa:7475	hsa:8322	0	1
hsa:7475	hsa:8321	0	1
hsa:7475	hsa:8324	0	1
hsa:7475	hsa:8323	0	1
hsa:7475	hsa:8326	0	1
hsa:7475	hsa:8325	0	1
hsa:7476	hsa:7478	0	1
hsa:7476	hsa:7477	0	1
hsa:7476	hsa:7480	0	1
hsa:7476	hsa:7479	0	1
hsa:7476	hsa:7482	0	1
hsa:7476	hsa:7481	0	1
hsa:7476	hsa:7484	0	1
hsa:7476	hsa:7483	0	1
hsa:7476	hsa:81029	0	1
hsa:7476	hsa:80326	0	1
hsa:7476	hsa:11211	0	1
hsa:7476	hsa:89780	0	1
hsa:7476	hsa:7855	0	1
hsa:7476	hsa:2535	0	1
hsa:7476	hsa:8321	0	1
hsa:7476	hsa:7976	0	1
hsa:7476	hsa:8323	0	1
hsa:7476	hsa:8322	0	1
hsa:7476	hsa:8325	0	1
hsa:7476	hsa:8324	0	1
hsa:7476	hsa:8326	0	1
hsa:7473	hsa:7474	0	1
hsa:7473	hsa:7476	0	1
hsa:7473	hsa:7475	0	1
hsa:7473	hsa:7478	0	1
hsa:7473	hsa:7477	0	1
hsa:7473	hsa:7480	0	1
hsa:7473	hsa:7479	0	1
hsa:7473	hsa:7482	0	1
hsa:7473	hsa:7481	0	1
hsa:7473	hsa:7484	0	1
hsa:7473	hsa:7483	0	1
hsa:7473	hsa:81029	0	1
hsa:7473	hsa:80326	0	1
hsa:7473	hsa:11211	0	1
hsa:7473	hsa:89780	0	1
hsa:7473	hsa:7855	0	1
hsa:7473	hsa:2535	0	1
hsa:7473	hsa:8321	0	1
hsa:7473	hsa:7976	0	1
hsa:7473	hsa:8323	0	1
hsa:7473	hsa:8322	0	1
hsa:7473	hsa:8325	0	1
hsa:7473	hsa:8324	0	1
hsa:7473	hsa:8326	0	1
hsa:650	hsa:652	0	1
hsa:7474	hsa:7475	0	1
hsa:7474	hsa:7477	0	1
hsa:7474	hsa:7476	0	1
hsa:7474	hsa:7479	0	1
hsa:7474	hsa:7478	0	1
hsa:7474	hsa:7481	0	1
hsa:7474	hsa:7480	0	1
hsa:7474	hsa:7483	0	1
hsa:7474	hsa:7482	0	1
hsa:7474	hsa:80326	0	1
hsa:7474	hsa:7484	0	1
hsa:7474	hsa:89780	0	1
hsa:7474	hsa:81029	0	1
hsa:7474	hsa:2535	0	1
hsa:7474	hsa:11211	0	1
hsa:7474	hsa:7976	0	1
hsa:7474	hsa:7855	0	1
hsa:7474	hsa:8322	0	1
hsa:7474	hsa:8321	0	1
hsa:7474	hsa:8324	0	1
hsa:7474	hsa:8323	0	1
hsa:7474	hsa:8326	0	1
hsa:7474	hsa:8325	0	1
hsa:7471	hsa:7473	0	1
hsa:7471	hsa:7472	0	1
hsa:7471	hsa:7475	0	1
hsa:7471	hsa:7474	0	1
hsa:7471	hsa:7477	0	1
hsa:7471	hsa:7476	0	1
hsa:7471	hsa:7479	0	1
hsa:7471	hsa:7478	0	1
hsa:7471	hsa:7481	0	1
hsa:7471	hsa:7480	0	1
hsa:7471	hsa:7483	0	1
hsa:7471	hsa:7482	0	1
hsa:7471	hsa:80326	0	1
hsa:7471	hsa:7484	0	1
hsa:7471	hsa:89780	0	1
hsa:7471	hsa:81029	0	1
hsa:7471	hsa:2535	0	1
hsa:7471	hsa:11211	0	1
hsa:7471	hsa:7976	0	1
hsa:7471	hsa:7855	0	1
hsa:7471	hsa:8322	0	1
hsa:7471	hsa:8321	0	1
hsa:7471	hsa:8324	0	1
hsa:7471	hsa:8323	0	1
hsa:7471	hsa:8326	0	1
hsa:7471	hsa:8325	0	1
hsa:7472	hsa:7474	0	1
hsa:7472	hsa:7473	0	1
hsa:7472	hsa:7476	0	1
hsa:7472	hsa:7475	0	1
hsa:7472	hsa:7478	0	1
hsa:7472	hsa:7477	0	1
hsa:7472	hsa:7480	0	1
hsa:7472	hsa:7479	0	1
hsa:7472	hsa:7482	0	1
hsa:7472	hsa:7481	0	1
hsa:7472	hsa:7484	0	1
hsa:7472	hsa:7483	0	1
hsa:7472	hsa:81029	0	1
hsa:7472	hsa:80326	0	1
hsa:7472	hsa:11211	0	1
hsa:7472	hsa:89780	0	1
hsa:7472	hsa:7855	0	1
hsa:7472	hsa:2535	0	1
hsa:7472	hsa:8321	0	1
hsa:7472	hsa:7976	0	1
hsa:7472	hsa:8323	0	1
hsa:7472	hsa:8322	0	1
hsa:7472	hsa:8325	0	1
hsa:7472	hsa:8324	0	1
hsa:7472	hsa:8326	0	1
hsa:51384	hsa:54361	0	1
hsa:51384	hsa:7472	0	1
hsa:51384	hsa:7471	0	1
hsa:51384	hsa:7474	0	1
hsa:51384	hsa:7473	0	1
hsa:51384	hsa:7476	0	1
hsa:51384	hsa:7475	0	1
hsa:51384	hsa:7478	0	1
hsa:51384	hsa:7477	0	1
hsa:51384	hsa:7480	0	1
hsa:51384	hsa:7479	0	1
hsa:51384	hsa:7482	0	1
hsa:51384	hsa:7481	0	1
hsa:51384	hsa:7484	0	1
hsa:51384	hsa:7483	0	1
hsa:51384	hsa:81029	0	1
hsa:51384	hsa:80326	0	1
hsa:51384	hsa:11211	0	1
hsa:51384	hsa:89780	0	1
hsa:51384	hsa:7855	0	1
hsa:51384	hsa:2535	0	1
hsa:51384	hsa:8321	0	1
hsa:51384	hsa:7976	0	1
hsa:51384	hsa:8323	0	1
hsa:51384	hsa:8322	0	1
hsa:51384	hsa:8325	0	1
hsa:51384	hsa:8324	0	1
hsa:51384	hsa:8326	0	1
hsa:54361	hsa:7471	0	1
hsa:54361	hsa:7473	0	1
hsa:54361	hsa:7472	0	1
hsa:54361	hsa:7475	0	1
hsa:54361	hsa:7474	0	1
hsa:54361	hsa:7477	0	1
hsa:54361	hsa:7476	0	1
hsa:54361	hsa:7479	0	1
hsa:54361	hsa:7478	0	1
hsa:54361	hsa:7481	0	1
hsa:54361	hsa:7480	0	1
